;N;S;NC;ND;NH;NS;NNT;SC;SD;SH;SS;SNT
0;A72.K7.AQJ74.A94;J.J852.T9.KQ6532;11.1;10.5;7.3;5.0;10.6;11.1;10.6;7.2;4.9;10.6
1;A42.KT5.A.KQT876;KQJ3.J7.J73.J942;10.9;4.6;5.1;9.6;6.7;10.9;4.7;5.2;9.5;6.7
2;3.AKJT8.972.T765;K95.72.AKQ63.AJ4;9.5;10.7;9.8;5.8;8.5;9.7;10.6;10.1;6.0;9.4
3;J32.QT4.763.AK97;A.J7632.2.JT8654;9.0;1.6;8.5;1.6;5.5;8.9;1.6;8.5;1.6;5.5
4;J9765.T7.653.Q96;Q3.AQ.QJ872.8754;2.8;4.6;1.5;4.1;2.0;2.8;4.7;1.5;4.1;2.0
5;AJ532.Q875.Q83.8;Q986.AJ63.A4.752;3.7;4.7;9.3;9.7;6.3;3.7;4.0;9.1;9.6;6.1
6;AQ96.Q6.AK643.A8;43.K8752.QT72.43;5.0;10.3;8.8;7.2;7.9;5.0;10.3;8.8;7.2;7.9
7;T4.J72.T9743.653;AKJ872.K.A8.AJ98;7.5;6.8;4.8;8.3;6.1;7.5;6.9;4.8;8.3;6.1
8;J7.A9873.AKQ.J84;Q9.JT6542.2.A763;7.3;4.6;9.6;4.6;6.9;7.4;4.6;9.6;4.6;6.9
9;Q8.Q9.QJ4.T87642;AT93.J42.AK765.K;6.2;8.4;4.2;5.8;7.0;6.1;8.5;4.2;5.7;6.9
10;KQJ.J983.J42.A74;AT87643.QT62.8.9;1.7;1.7;8.3;9.1;5.3;1.7;1.7;8.3;8.9;5.3
11;7543.74.K752.653;9.QT53.AQ9.QJT92;6.2;4.2;3.1;2.1;2.8;6.2;4.2;3.4;2.1;2.8
12;652.AT93.J3.Q942;Q8.86.KQT97.KT75;7.1;6.1;3.9;3.1;4.3;7.1;6.0;3.9;3.0;4.3
13;A7.65.KJ964.AJT6;JT864.Q8.5.87543;7.7;4.7;2.7;5.9;3.3;7.7;4.6;2.7;5.8;3.2
14;54.KQ.Q96.AQ9763;K976.A742.52.KJT;9.3;4.3;5.6;5.0;6.7;9.4;4.2;5.6;5.1;6.3
15;2.A985.A98732.KJ;KQT94.QT7.T.AQ74;8.8;9.1;10.4;9.3;8.9;8.8;9.1;10.4;9.4;9.0
16;KJ73.AK.A7.KJ765;A5.QJT.QJT98.AT4;12.5;12.2;9.9;11.3;12.5;12.5;12.1;9.9;11.3;12.5
17;2.AT72.J92.KQ983;J93.KQ64.K643.T7;7.4;6.5;8.3;3.7;4.9;7.4;6.3;8.3;3.6;4.9
18;985.A.QT752.QT97;A62.J8643.63.K84;5.9;5.9;4.2;4.2;4.4;5.9;5.9;4.2;4.2;4.4
19;8764.7632.T8.876;Q52.T54.A973.AQJ;3.0;2.9;3.1;3.3;2.9;3.0;2.8;3.2;3.2;2.8
20;QT72.K8.Q73.JT74;854.7532.AK9.A93;6.4;5.1;4.6;6.1;5.6;6.4;5.1;4.7;6.1;5.7
21;T74.AJ3.T762.943;J.K94.QJ543.AK76;6.6;8.8;5.5;4.4;4.6;6.6;8.7;5.5;4.4;4.6
22;A432.A9.KQ6.J863;T87.KJ75.7532.94;4.8;5.8;5.1;4.9;4.8;4.8;5.8;5.0;4.9;4.9
23;5432.QT4.KT.Q874;QJ86.863.98.JT92;4.0;0.9;1.6;3.7;1.2;3.9;0.9;1.6;3.8;1.2
24;Q5.A53.KJ74.T963;KJT8.Q842.AT8.52;6.1;7.8;7.4;6.6;6.8;6.1;7.9;7.4;6.8;6.9
25;K983.Q.AKQT52.83;J52.AKT54.8.K975;7.9;9.4;8.3;9.1;9.0;7.8;9.5;8.5;9.2;9.0
26;5.QT864.Q73.A763;Q.J732.AKT98.QJ8;7.3;8.8;9.0;3.2;4.7;7.4;8.8;8.9;3.2;4.7
27;QT.8432.KJ9.A954;K.Q96.AQT63.QT83;7.7;7.8;6.9;3.0;7.2;7.8;8.1;6.8;3.0;7.2
28;AQ9.32.QJ975.A87;T84.Q9874.K32.K4;4.8;8.8;7.5;6.4;7.7;4.8;8.7;7.4;6.3;7.7
29;AK4.KQ43.98.QT42;Q8.65.JT5432.A53;7.2;8.1;6.1;5.6;6.4;7.1;8.0;6.1;5.2;6.2
30;QT854.3.K3.A9653;A32.AJ6.AQ985.KQ;11.3;11.0;7.2;11.7;10.3;11.4;11.0;7.5;11.7;10.8
31;KJ84.K5432.AK3.4;T7652..9875.T952;3.1;5.4;3.3;8.3;2.8;2.7;5.4;3.3;8.2;2.7
32;7532.AQ.AK97.AK7;AKJT64.JT.Q862.4;7.1;12.6;7.3;13.0;13.0;7.0;12.9;7.2;13.0;13.0
33;AT43.J7.AK9.AT83;K872.KQ82.843.64;7.3;7.6;7.8;9.8;8.1;7.3;7.6;7.8;9.7;8.0
34;Q843.54.AT9864.T;A65.AKJ82.K52.J7;4.6;10.2;8.8;8.6;6.5;4.6;10.2;9.1;8.5;6.6
35;KQ.Q98.KQJ73.K84;A87.K74.6542.953;5.1;7.9;5.7;4.5;7.2;5.2;7.9;5.5;4.5;7.4
36;J72.Q763.QT752.3;AQ8.JT982.A9.AQ6;4.2;8.0;9.3;6.3;6.8;4.6;8.3;9.4;6.4;7.2
37;.JT743.A763.A875;J3.98652.J5.K643;7.3;3.8;8.0;1.5;2.9;7.3;3.6;8.0;1.5;2.9
38;AKT762.Q.AT85.Q4;9854.6.3.KJ97652;10.4;3.0;2.0;10.5;5.0;10.5;3.0;2.0;10.4;5.0
39;K85.A963.95.JT95;32.T874.AT863.74;3.2;4.2;4.2;2.3;2.3;3.2;4.3;4.2;2.3;2.3
40;J853.KQT5.8654.J;Q764.9832.J.T765;0.5;0.3;4.5;4.8;0.6;0.5;0.3;4.5;4.8;0.6
41;QJ754.4.KQJ5.A82;T83.9876.AT7.J96;4.3;6.8;3.2;7.5;5.0;4.2;6.8;3.1;7.6;5.3
42;KQJ64.876.9873.7;T9.Q5.KT42.AKQJ5;6.1;7.5;4.3;7.1;5.6;6.1;7.5;4.3;7.1;5.6
43;Q.AJ94.AK42.KQ97;AKT2.K752.J3.J83;11.2;9.7;11.5;9.6;11.4;11.2;9.8;11.5;9.6;11.6
44;KJ5.Q532.Q62.985;AT3.AJ.AJ9543.Q2;5.5;9.8;6.3;6.9;7.2;5.6;9.8;6.4;7.0;7.2
45;QT8653.T7.JT.A62;9.KQ9.A952.KQJ95;9.3;7.2;5.8;7.8;8.0;9.3;7.3;5.8;7.8;8.1
46;J4.4.KQJ87.AQ532;T.AJT875.T643.J7;8.1;10.4;7.8;3.2;4.6;8.1;10.4;7.8;3.2;4.6
47;43.KJ42.AKJ6.962;AKJ.Q976.T97.K73;7.0;8.2;9.3;5.9;8.4;6.9;8.4;9.3;5.9;8.4
48;7.AQJ93.AJ62.T75;96432.T65.K953.6;2.4;9.0;8.7;3.9;3.1;2.4;9.0;8.6;3.9;3.1
49;K962.A974.42.JT2;AJT8.Q.AT9873.53;4.0;8.8;4.4;9.0;6.0;4.0;8.8;4.3;9.0;6.0
50;AKQ73.64.542.T74;J95.KJ95.K86.KJ5;4.9;4.9;5.0;7.0;6.3;5.0;5.0;5.2;7.3;6.5
51;J9.A96.9732.T632;AT4.QJT74.K4.Q74;5.5;4.4;6.8;3.7;5.4;5.7;4.4;6.8;3.8;5.8
52;QT632.852.KQJ85.;8.QJ643.AT.AKT93;6.6;7.6;9.1;6.7;7.5;6.6;7.6;9.0;6.5;7.4
53;AKQJ92.T3.AQ8.85;T87.A64.7542.A97;4.9;8.6;5.1;10.0;9.7;4.9;8.6;5.1;10.0;9.7
54;K754.AQ9.T.J8753;J.K862.KQJ987.KQ;8.0;9.7;9.1;6.2;7.8;7.8;9.7;9.1;6.2;7.8
55;J7.AT854.Q9.AKJ4;A654.Q76.J75.T72;7.6;5.3;8.2;6.0;6.8;7.6;5.3;8.2;5.9;6.8
56;.T98732.AK654.98;AJ73.AQ64.J9.JT7;4.5;8.8;10.5;4.3;7.1;4.4;8.8;10.5;4.4;7.1
57;Q.7532.T8754.532;AJ75.AQ86.Q63.76;2.9;5.9;6.0;3.0;3.2;2.9;6.1;6.2;3.0;3.2
58;32.J92.A96.Q9765;AQT9.63.T8432.83;4.1;5.3;2.6;3.8;2.6;4.0;5.3;2.6;3.7;2.6
59;72.K754.K3.KJ982;J9865.T62.J642.T;3.9;2.6;3.4;3.3;2.6;3.9;2.6;3.4;3.3;2.6
60;AQ876.982.92.JT3;KJ2.K6543.KT4.95;2.7;2.6;6.4;6.4;5.3;2.7;2.7;6.2;6.4;5.0
61;KJ8.KJ7652.9.A32;A6.AT3.AQ83.QJT6;11.8;9.2;12.4;9.1;12.2;11.8;9.3;12.3;9.2;12.4
62;9863.KQ.865.QT84;2.J95.K9743.9653;4.5;4.9;2.0;1.5;2.0;4.5;4.9;2.0;1.5;2.0
63;JT.J854.AQ96.AQ3;942.92.J542.KT97;6.8;8.0;4.0;3.5;4.0;6.8;8.0;4.0;3.4;4.0
64;2.KT9.KJ98742.J9;K43.QJ64.Q.AT865;7.0;8.2;7.0;3.5;4.6;7.0;8.2;7.1;3.5;4.6
65;J5.86.KQ652.K865;Q7643.J75.T3.QJ2;4.3;4.3;2.5;4.0;3.0;4.3;4.3;2.4;4.0;3.0
66;9.KT32.AK43.JT54;KQT83.J74.J2.976;5.6;4.4;5.6;5.4;5.1;5.6;4.4;5.6;5.4;5.4
67;AQ3.AKJ.J9.QT854;KT7654.854.T83.7;6.2;4.2;5.4;9.5;6.0;6.1;4.2;5.4;9.5;5.9
68;96.A64.AJT.KJ986;QJT753.KQJ2.K.T2;8.8;5.6;8.8;9.7;8.9;8.8;5.5;8.7;9.5;8.6
69;JT75.T643.9765.T;KQ.J5.KQJ8.AQ976;5.5;7.9;5.7;5.4;6.5;5.5;7.9;5.7;5.4;6.6
70;K65.Q9754.9864.8;Q2.AKT83.T75.AT5;2.5;5.4;9.0;3.4;6.0;2.5;5.4;9.0;3.4;6.0
71;73.AK6.AKT6.KJ86;AQT6.42.QJ873.QT;10.6;11.7;7.7;9.4;11.8;10.6;11.7;7.9;9.4;11.8
72;QT876.T86.KT54.9;KJ3.A4.32.AJ8762;6.7;5.2;4.3;7.8;5.8;6.7;5.1;4.3;7.8;5.7
73;K7.KJ4.KJT76.KJ5;Q962.T53.A952.82;4.6;8.9;6.2;6.1;7.5;4.6;8.9;5.9;5.9;7.3
74;K975.KJ63.KJ5.A9;J.AT84.32.JT6532;8.7;4.8;8.5;4.9;7.1;8.5;4.4;8.3;4.7;6.0
75;KQ7432.96.Q86.64;8.AKT83.AKJT54.8;3.6;10.5;9.2;7.7;6.0;3.6;10.5;9.2;7.7;6.0
76;943.A93.T74.T985;KQJ6.J85.Q.KJ643;7.6;2.6;3.1;5.2;3.1;7.5;2.6;3.3;5.3;3.3
77;A52.KQ.KQ64.T732;J986.T732.J.KQ86;7.8;5.5;5.8;6.8;6.6;7.7;5.4;5.8;6.8;6.6
78;A7.K54.KQ95.JT72;KJT.QJ63.6.KQ953;9.7;6.6;8.7;6.5;9.6;9.7;6.7;8.8;6.5;9.3
79;865.Q5.JT953.K65;942.AT876.A4.AT2;5.0;6.5;6.7;4.9;5.6;5.0;6.5;6.7;4.8;5.7
80;Q2.T4.AKT973.QT5;AT853.A32.865.43;4.6;8.7;4.3;7.1;7.4;4.5;8.7;4.3;7.1;7.4
81;T98654.T4.85.763;AKJ.3.643.AQJ954;8.4;1.3;1.2;8.4;2.0;8.4;1.3;1.2;8.4;2.0
82;J9.AQ76.T74.K842;AKT3.KJT84.J.QJ7;9.1;5.4;10.6;7.3;6.5;9.1;5.5;10.7;7.3;6.5
83;73.A7543.7.T9874;QT98.8.JT8532.A2;4.1;5.0;2.7;3.6;2.0;4.2;5.0;2.7;3.6;2.0
84;AKJT.KQ85.KJ5.AT;Q52.A9632.64.853;6.1;6.2;11.0;10.1;10.1;6.0;6.1;11.0;10.1;10.1
85;K986.A6.J98743.T;QJ42.872.AK.KQ54;5.4;8.9;5.4;9.6;6.9;5.4;8.9;5.4;9.6;7.0
86;3.A98532.8543.AT;KQ5.6.A762.J9754;7.2;8.1;6.1;4.9;5.0;6.9;8.1;6.1;4.9;5.3
87;432.AKQJ9.KJ2.Q3;A5.T876.Q53.KJ97;7.8;6.9;9.9;5.4;7.8;7.8;6.9;9.9;5.4;7.8
88;T9752.J94.A5.J98;KQ.KQ.KJT7.Q6532;7.9;6.8;5.2;7.2;7.5;8.0;6.8;5.2;7.2;7.6
89;J86.96.KT65.J976;AQT32.T73.J43.T2;2.6;4.6;1.6;5.6;2.8;2.6;4.5;1.6;5.6;2.8
90;87654.A83.K5.A97;JT.Q7.AQ9.KQJ832;10.1;6.1;5.6;8.3;9.7;10.0;6.1;5.6;8.0;9.7
91;QT3.KQ542.T9.Q97;K94.A9873.K6.A64;5.7;4.5;9.3;5.7;6.9;5.7;4.5;9.2;5.6;7.1
92;52.AQT97.K952.82;QJ94.52.QT8.T953;3.7;5.4;5.0;3.5;4.5;3.7;5.4;5.0;3.6;4.6
93;8654.JT3.J864.63;KQJT9.AK72.Q.T87;2.6;3.2;6.0;8.4;4.3;2.6;3.2;6.0;8.4;4.3
94;AT97.T843.6.K987;K632.AQJ.QT98.AQ;8.7;8.1;9.8;10.4;9.2;8.7;8.1;10.0;10.4;9.2
95;T8762.A62.4.QJ43;.K3.AJT98762.KT5;8.0;10.5;5.4;5.3;6.7;8.0;10.5;5.4;5.3;6.7
96;3.Q7542.983.QT63;6542.983.QJT5.85;1.0;2.0;2.7;0.2;0.6;0.9;2.0;2.7;0.2;0.6
97;AQ984.A97.A6.AQ8;T65.QJ52.K98.J97;9.0;7.9;10.4;10.8;10.2;8.9;7.7;10.3;10.5;10.1
98;AJT9.AT8542..A74;K642.9.K432.8653;7.9;5.0;8.3;9.5;6.7;8.0;5.4;8.3;9.4;6.7
99;KQ42.T32.6532.74;AJ76.AQJ854.A.A2;5.3;5.2;11.3;11.3;8.8;5.3;5.3;11.3;11.3;8.8
100;Q9654.A5.9874.63;A72.KQJT7.AJ.JT8;4.7;6.2;8.0;8.4;7.0;4.7;6.3;8.0;8.4;7.0
