;PBN;OPENING
403;KQJ4.7.AT87.KQ74;1D
19;QT943.7654.42.A7;PASS
1050;AJ7.AQ8754.T4.J5;1H
303;AT987.Q86.KQ4.43;1S
176;J84.T87.6543.QJ9;PASS
626;865.QJ6432.7.942;PASS
87;AQ7.Q974.8643.T4;PASS
1127;K63.Q654.6.AT865;PASS
529;87.J9763.J653.QJ;PASS
709;AKJ4.65432.AJ3.9;1H
635;QJT7.Q74.762.KQ3;PASS
730;AK.Q4.KT765.A843;1D
838;KQ84.J83.98.KT52;PASS
711;QJT9.T.QT84.AK98;1D
289;A985.75.J95.KJ82;PASS
392;AT932.JT3.4.J863;PASS
953;J87.KQ73.KQT6.J2;1C
305;T.A9843.97.JT986;2H
193;A5.AJT9.A96.J862;1N
1069;JT2.AQ32.T76.985;PASS
1187;T75.975.AKQ.Q652;PASS
1161;KQ87.AJ.AJ862.J8;1D
1151;984.J7.T962.Q643;PASS
1061;QT5.9872.KJT65.J;PASS
524;.KQ9854.7.KQJ973;1H
673;642.T9854.952.42;PASS
6;K73.K9.K2.QT7532;1C
1035;K42.8.AK5.KQ7653;1C
712;QJ5.T765.AQ3.Q74;PASS
518;T763.KQT2.J87.KJ;PASS
1202;K7432.T852.AQ5.3;PASS
109;AQ8743.93.T32.T6;2D
1062;AKJT3.97.A2.AJ64;1S
217;86.A65.53.AQ9876;2C
968;T76.T9865.T98.A4;PASS
1099;Q96.A952.AKJ985.;1D
286;43.QT.T53.KJT652;3C
723;K985.J985.2.A843;PASS
926;QT5.T9653.64.964;PASS
735;AQT7.QJ8.K4.J932;1C
170;KQ.KQJ2.96.AK743;1C
663;742.42.87652.964;PASS
78;T872.QJT4.T.AQJ3;PASS
970;8753.K43.J5.JT93;PASS
1107;JT63.3.T9862.973;PASS
656;J43.Q92.93.96532;PASS
553;KQJ652.3.T9.8743;2D
458;KQT8.T96.T85.K93;PASS
765;AQJ84.872.T2.A54;PASS
1111;J2.KQ42.Q94.Q983;PASS
886;AQ4.A854.KT943.Q;1D
606;AJ3.42.Q973.K542;PASS
892;KJ63.T87.AT9.Q93;PASS
0;.JT53.Q97.JT9865;PASS
1068;AQ32.542.QJ.Q632;PASS
802;76.AQJ54.75.Q983;PASS
1142;72.AKQJT873.5.72;4H
18;T762.T8743.Q4.T3;PASS
