Wall time,Step,Value
1682342448.5640173,1,-365.42999267578125
1682342448.7808354,3,-341.20001220703125
1682342448.8954885,4,-336.1499938964844
1682342449.011609,5,-367.17999267578125
1682342449.595265,10,-379.0199890136719
1682342449.710647,11,-328.6499938964844
1682342449.821266,12,-305.5299987792969
1682342450.1685488,15,-349.1600036621094
1682342450.2843266,16,-361.7099914550781
1682342450.4009619,17,-339.2900085449219
1682342450.6250827,19,-302.5899963378906
1682342450.739544,20,-303.9100036621094
1682342450.8534498,21,-357.6300048828125
1682342451.0837271,23,-348.3599853515625
1682342451.208566,24,-309.8999938964844
1682342451.548485,27,-243.55999755859375
1682342451.659915,28,-278.42999267578125
1682342451.7797499,29,-245.80999755859375
1682342451.8922877,30,-250.80999755859375
1682342452.0115786,31,-253.42999267578125
1682342452.355983,34,-198.50999450683594
1682342452.4686823,35,-227.7899932861328
1682342452.69135,37,-226.41000366210938
1682342452.8005047,38,-197.33999633789062
1682342452.9088428,39,-200.99000549316406
1682342453.0243897,40,-216.9499969482422
1682342453.1312337,41,-241.07000732421875
1682342453.8646965,48,-201.3300018310547
1682342453.9746962,49,-216.72000122070312
1682342454.0796947,50,-208.89999389648438
1682342454.1877384,51,-189.9600067138672
1682342454.289814,52,-210.86000061035156
1682342454.4031277,53,-225.4199981689453
1682342454.6232889,55,-176.1699981689453
1682342454.7346337,56,-226.66000366210938
1682342454.9511087,58,-233.64999389648438
1682342455.2855387,61,-224.0500030517578
1682342455.3988373,62,-203.0500030517578
1682342455.5094998,63,-229.3300018310547
1682342455.6246343,64,-243.60000610351562
1682342455.8481903,66,-250.4600067138672
1682342455.9565148,67,-239.85000610351562
1682342456.0694284,68,-224.8300018310547
1682342456.19161,69,-204.8699951171875
1682342456.4315512,71,-262.44000244140625
1682342456.5422928,72,-207.75999450683594
1682342456.7712355,74,-192.88999938964844
1682342456.9958103,76,-257.9100036621094
1682342457.2179544,78,-200.05999755859375
1682342457.330886,79,-221.52000427246094
1682342457.4437497,80,-181.9499969482422
1682342457.5534787,81,-229.33999633789062
1682342457.771463,83,-187.19000244140625
1682342457.8808029,84,-206.07000732421875
1682342458.1058323,86,-224.6300048828125
1682342458.2092366,87,-241.9199981689453
1682342458.5484202,90,-187.9600067138672
1682342458.6558964,91,-219.9600067138672
1682342459.2150738,96,-245.50999450683594
1682342459.6555352,100,-233.08999633789062
1682342459.7759607,101,-245.75
1682342460.1222363,104,-258.69000244140625
1682342460.2408233,105,-221.75999450683594
1682342460.4733236,107,-209.22000122070312
1682342460.580939,108,-225.67999267578125
1682342460.8076599,110,-240.02000427246094
1682342460.9238546,111,-212.8300018310547
1682342461.0361526,112,-211.6699981689453
1682342461.1577697,113,-223.02000427246094
1682342461.3761983,115,-209.2899932861328
1682342461.4897933,116,-225.92999267578125
1682342461.601303,117,-241.99000549316406
1682342462.151865,122,-246.3800048828125
1682342462.5898583,126,-245.75
1682342462.6968064,127,-226.25999450683594
1682342462.9105504,129,-242.9499969482422
1682342463.023694,130,-239.83999633789062
1682342463.1463592,131,-239.6199951171875
1682342463.2484384,132,-232.4199981689453
1682342463.354172,133,-205.5500030517578
1682342463.5925312,135,-247.2899932861328
1682342463.8153715,137,-189.61000061035156
1682342463.926674,138,-201.3000030517578
1682342464.037557,139,-241.27999877929688
1682342464.6014674,144,-237.75
1682342464.7168448,145,-267.6400146484375
1682342464.9302323,147,-244.2899932861328
1682342465.0362349,148,-181.5
1682342465.3648481,151,-222.97999572753906
1682342465.8097503,155,-222.35000610351562
1682342466.0275235,157,-228.97999572753906
1682342466.1377277,158,-223.50999450683594
1682342466.3655474,160,-236.33999633789062
1682342466.4736118,161,-191.72000122070312
1682342466.692103,163,-199.49000549316406
1682342466.802759,164,-244.50999450683594
1682342466.9144843,165,-216.6300048828125
1682342467.1410851,167,-181.86000061035156
1682342467.3570683,169,-249.02999877929688
1682342467.5818918,171,-220.64999389648438
1682342467.6847014,172,-259.5899963378906
1682342467.7993252,173,-237.16000366210938
1682342468.029586,175,-244.8000030517578
1682342468.1404982,176,-239.75
1682342468.2517674,177,-246.16000366210938
1682342468.358406,178,-226.3000030517578
1682342468.473855,179,-270.17999267578125
1682342468.7028744,181,-256.29998779296875
1682342468.816939,182,-249.27000427246094
1682342468.9272528,183,-213.7100067138672
1682342469.0429676,184,-198.92999267578125
1682342469.1497123,185,-214.22000122070312
1682342469.2598367,186,-208.69000244140625
1682342469.3710856,187,-214.97999572753906
1682342469.697986,190,-209.8000030517578
1682342469.8137374,191,-229.7899932861328
1682342469.9202628,192,-224.9499969482422
1682342470.0366282,193,-190.3300018310547
1682342470.3709376,196,-265.6000061035156
1682342470.7064004,199,-225.89999389648438
1682342470.8160248,200,-253.75
1682342470.933975,201,-261.3800048828125
1682342471.1572106,203,-215.92999267578125
1682342471.2705512,204,-254.16000366210938
1682342471.3791287,205,-278.7099914550781
1682342471.488971,206,-231.07000732421875
1682342471.7137883,208,-219.50999450683594
1682342471.9258382,210,-254.3800048828125
1682342472.1534584,212,-232.80999755859375
1682342472.3707361,214,-177.92999267578125
1682342472.5918772,216,-240.19000244140625
1682342472.6999917,217,-223.41000366210938
1682342472.9180973,219,-221.32000732421875
1682342473.0308485,220,-248.75999450683594
1682342473.1436508,221,-218.55999755859375
1682342473.2488413,222,-162.6999969482422
1682342473.3631742,223,-223.80999755859375
1682342473.5885265,225,-219.47999572753906
1682342473.7027748,226,-216.61000061035156
1682342473.8210762,227,-252.47000122070312
1682342474.1724527,230,-228.74000549316406
1682342474.5123086,233,-256.3399963378906
1682342474.7292805,235,-246.11000061035156
1682342474.8420458,236,-227.5800018310547
1682342474.9471023,237,-173.38999938964844
1682342475.0538647,238,-192.44000244140625
1682342475.163121,239,-219.05999755859375
1682342475.2672296,240,-222.0399932861328
1682342475.5914788,242,-228.8800048828125
1682342475.6954312,243,-218.9199981689453
1682342475.9145675,245,-226.1699981689453
1682342476.0299916,246,-209.17999267578125
1682342476.139349,247,-241.1999969482422
1682342476.250704,248,-197.42999267578125
1682342476.4671268,250,-221.5800018310547
1682342476.8049695,253,-258.55999755859375
1682342476.9264455,254,-207.72999572753906
1682342477.0324507,255,-198.66000366210938
1682342477.3791294,258,-214.13999938964844
1682342477.4960294,259,-210.25
1682342477.606968,260,-195.0399932861328
1682342477.716606,261,-207.36000061035156
1682342477.9279194,263,-200.02999877929688
1682342478.0411327,264,-243.3000030517578
1682342478.6066613,269,-214.7100067138672
1682342478.8242497,271,-256.57000732421875
1682342478.9375088,272,-203.32000732421875
1682342479.2754807,275,-240.25999450683594
1682342479.3889525,276,-224.1699981689453
1682342479.50175,277,-238.3800048828125
1682342479.7248232,279,-228.27000427246094
1682342479.937902,281,-213.22000122070312
1682342480.159745,283,-231.3300018310547
1682342480.2641542,284,-195.0
1682342480.3762555,285,-222.97999572753906
1682342480.4815252,286,-181.94000244140625
1682342480.7090662,288,-239.9600067138672
1682342480.815616,289,-247.02000427246094
1682342481.035372,291,-246.8800048828125
1682342481.1413007,292,-214.14999389648438
1682342481.5769684,296,-226.66000366210938
1682342481.6995065,297,-216.0399932861328
1682342481.8083704,298,-203.13999938964844
1682342481.918388,299,-224.83999633789062
1682342482.0266452,300,-203.8000030517578
1682342482.60539,305,-221.35000610351562
1682342482.714739,306,-203.39999389648438
1682342482.8202786,307,-186.63999938964844
1682342482.9282968,308,-205.7899932861328
1682342483.0386355,309,-207.83999633789062
1682342483.1515038,310,-244.82000732421875
1682342483.4870894,313,-265.1300048828125
1682342483.5946605,314,-221.1999969482422
1682342483.7073302,315,-202.64999389648438
1682342483.8156557,316,-248.64999389648438
1682342483.9266114,317,-196.8000030517578
1682342484.1412897,319,-203.0500030517578
1682342484.2493079,320,-219.47999572753906
1682342484.5829706,323,-222.60000610351562
1682342484.8056822,325,-205.8800048828125
1682342485.3582118,330,-216.5
1682342485.4745579,331,-227.60000610351562
1682342485.5841053,332,-219.1300048828125
1682342485.7051635,333,-197.39999389648438
1682342485.812008,334,-239.63999938964844
1682342486.2862628,338,-255.0800018310547
1682342486.3924184,339,-188.6699981689453
1682342486.6056669,341,-206.1999969482422
1682342486.9275272,344,-223.11000061035156
1682342487.0325642,345,-253.6999969482422
1682342487.1424813,346,-201.8000030517578
1682342487.2545028,347,-225.75999450683594
1682342487.496644,349,-191.39999389648438
1682342487.633614,350,-225.4600067138672
1682342487.779345,351,-229.6199951171875
1682342488.0820282,353,-204.5399932861328
1682342488.2573614,354,-198.0399932861328
1682342488.4154143,355,-196.91000366210938
1682342488.5607324,356,-223.30999755859375
1682342488.8701506,358,-197.94000244140625
1682342488.9786618,359,-208.50999450683594
1682342489.2115147,361,-212.24000549316406
1682342489.3293524,362,-224.22000122070312
1682342489.4397647,363,-234.27000427246094
1682342489.5517194,364,-245.5500030517578
1682342489.6765895,365,-216.08999633789062
1682342489.7882938,366,-202.77999877929688
1682342489.8985336,367,-227.82000732421875
1682342490.010666,368,-229.8800048828125
1682342490.1191814,369,-218.08999633789062
1682342490.22862,370,-198.35000610351562
1682342490.7939928,375,-231.85000610351562
1682342490.907567,376,-206.85000610351562
1682342491.1190486,378,-187.4600067138672
1682342491.2294304,379,-188.55999755859375
1682342491.667593,383,-208.33999633789062
1682342491.9049942,385,-179.4600067138672
1682342492.0102494,386,-220.27999877929688
1682342492.1159494,387,-237.52000427246094
1682342492.4496584,390,-220.7100067138672
1682342492.5564015,391,-236.42999267578125
1682342492.6605468,392,-182.19000244140625
1682342492.7770042,393,-194.91000366210938
1682342492.8878708,394,-237.3699951171875
1682342492.9961686,395,-209.25999450683594
1682342493.1048422,396,-210.77999877929688
1682342493.2143667,397,-205.86000061035156
1682342493.323032,398,-216.32000732421875
1682342493.441398,399,-233.8800048828125
1682342493.549254,400,-226.5
1682342493.6651983,401,-186.8800048828125
1682342493.7717195,402,-211.97999572753906
1682342493.8827102,403,-225.19000244140625
1682342494.102282,405,-200.5500030517578
1682342494.3119922,407,-201.6199951171875
1682342494.4221742,408,-194.58999633789062
1682342494.6026566,409,-262.3599853515625
1682342494.711068,410,-233.30999755859375
1682342495.0508168,413,-236.35000610351562
1682342495.160127,414,-236.64999389648438
1682342495.2665014,415,-216.7100067138672
1682342495.3794734,416,-240.55999755859375
1682342495.7112448,419,-204.75
1682342495.8273792,420,-210.5500030517578
1682342496.057963,422,-224.0800018310547
1682342496.1647353,423,-222.72000122070312
1682342496.5000436,426,-169.39999389648438
1682342496.614114,427,-210.57000732421875
1682342496.956738,430,-198.2100067138672
1682342497.064595,431,-202.39999389648438
1682342497.175567,432,-176.08999633789062
1682342497.5062563,435,-203.38999938964844
1682342497.6181686,436,-216.25
1682342497.7207818,437,-154.64999389648438
1682342497.8331947,438,-215.07000732421875
1682342497.9400735,439,-230.0399932861328
1682342498.0506802,440,-231.6999969482422
1682342498.1586044,441,-215.1199951171875
1682342498.262877,442,-169.1699981689453
1682342498.4827034,444,-222.27000427246094
1682342498.5919805,445,-206.42999267578125
1682342498.699529,446,-198.00999450683594
1682342498.8167174,447,-202.13999938964844
1682342499.253718,451,-208.82000732421875
1682342499.370204,452,-202.57000732421875
1682342499.4917321,453,-224.39999389648438
1682342499.6010327,454,-211.61000061035156
1682342499.7159731,455,-230.0
1682342499.9363384,457,-203.72000122070312
1682342500.1591997,459,-228.0500030517578
1682342500.5286558,461,-189.0399932861328
1682342500.647918,462,-200.11000061035156
1682342500.7711186,463,-228.2899932861328
1682342501.0042524,465,-184.47999572753906
1682342501.1126175,466,-204.8300018310547
1682342501.2222292,467,-216.47999572753906
1682342501.4503078,469,-174.6699981689453
1682342501.6705077,471,-233.57000732421875
1682342501.7797985,472,-208.52000427246094
1682342502.0040677,474,-214.25
1682342502.1149607,475,-149.5500030517578
1682342502.2378402,476,-216.22999572753906
1682342502.5813606,479,-193.16000366210938
1682342502.6977544,480,-193.1999969482422
1682342502.8084242,481,-178.2100067138672
1682342502.9260736,482,-215.55999755859375
1682342503.041556,483,-225.30999755859375
1682342503.1543493,484,-209.77999877929688
1682342503.265746,485,-216.16000366210938
1682342503.4946287,487,-229.14999389648438
1682342503.6073756,488,-235.8800048828125
1682342503.7188787,489,-263.42999267578125
1682342503.83788,490,-218.47999572753906
1682342504.065908,492,-226.14999389648438
1682342504.3936355,495,-231.52000427246094
1682342504.5117717,496,-210.0500030517578
1682342504.735423,498,-199.1699981689453
1682342504.8497715,499,-223.00999450683594
1682342505.1870224,502,-171.3000030517578
1682342505.295228,503,-223.27000427246094
1682342505.4042344,504,-219.6300048828125
1682342505.7545183,507,-219.0
1682342506.0051692,509,-189.88999938964844
1682342506.115284,510,-229.9600067138672
1682342506.2265182,511,-225.02000427246094
1682342506.3431797,512,-230.16000366210938
1682342506.4620168,513,-246.25999450683594
1682342506.5800436,514,-210.5399932861328
1682342506.6963317,515,-219.74000549316406
1682342506.9241989,517,-225.91000366210938
1682342507.0362751,518,-206.22999572753906
1682342507.1503584,519,-205.8800048828125
1682342507.2734892,520,-220.72999572753906
1682342507.3865657,521,-237.05999755859375
1682342507.496648,522,-205.3699951171875
1682342507.7225657,524,-186.47999572753906
1682342508.0604608,527,-196.7899932861328
1682342508.5185437,531,-221.1999969482422
1682342508.8545504,534,-203.92999267578125
1682342508.9635284,535,-213.55999755859375
1682342509.0722225,536,-184.1699981689453
1682342509.182393,537,-176.36000061035156
1682342509.296358,538,-216.8699951171875
1682342509.4071817,539,-180.3000030517578
1682342509.5193677,540,-187.69000244140625
1682342509.6306584,541,-156.1199951171875
1682342509.7398918,542,-209.5
1682342509.8501172,543,-212.24000549316406
1682342509.959604,544,-201.5800018310547
1682342510.0683312,545,-209.44000244140625
1682342510.2879345,547,-200.74000549316406
1682342510.3966055,548,-174.72999572753906
1682342510.7330055,551,-221.1199951171875
1682342510.9513292,553,-176.08999633789062
1682342511.065433,554,-171.41000366210938
1682342511.1698525,555,-225.27000427246094
1682342511.2757883,556,-196.89999389648438
1682342511.3873022,557,-212.92999267578125
1682342512.055061,563,-212.72000122070312
1682342512.1654,564,-193.10000610351562
1682342512.2795243,565,-159.5
1682342512.50369,567,-204.16000366210938
1682342512.6130419,568,-209.50999450683594
1682342512.7198386,569,-205.33999633789062
1682342512.82816,570,-214.8300018310547
1682342513.0565748,572,-221.17999267578125
1682342513.2762043,574,-203.97999572753906
1682342513.6182947,577,-231.30999755859375
1682342514.2016182,581,-201.63999938964844
1682342514.679531,585,-196.3300018310547
1682342514.789471,586,-207.50999450683594
1682342514.9008222,587,-200.97999572753906
1682342515.1331146,589,-224.61000061035156
1682342515.2397928,590,-199.1300048828125
1682342515.3548148,591,-209.67999267578125
1682342515.4706306,592,-224.0500030517578
1682342515.5847394,593,-203.38999938964844
1682342515.8110662,595,-219.08999633789062
1682342515.9216404,596,-233.6699981689453
1682342516.0386357,597,-219.1999969482422
1682342516.1579924,598,-200.36000061035156
1682342516.274407,599,-249.55999755859375
1682342516.3921745,600,-187.97999572753906
1682342516.6226087,602,-218.4199981689453
1682342516.749671,603,-205.7100067138672
1682342516.8676395,604,-209.3699951171875
1682342517.092065,606,-205.9499969482422
1682342517.337122,608,-211.2899932861328
1682342517.455911,609,-176.55999755859375
1682342517.566866,610,-182.1300048828125
1682342517.6825945,611,-199.2899932861328
1682342518.0138474,614,-212.38999938964844
1682342518.1184385,615,-219.3699951171875
1682342518.346772,617,-190.10000610351562
1682342518.461468,618,-202.6300048828125
1682342518.5681376,619,-187.64999389648438
1682342518.7980852,621,-207.92999267578125
1682342519.0281239,623,-213.69000244140625
1682342519.1346745,624,-212.82000732421875
1682342519.4571838,627,-183.07000732421875
1682342519.5659933,628,-248.22999572753906
1682342519.6813066,629,-205.14999389648438
1682342519.7939758,630,-198.1699981689453
1682342520.1604476,633,-249.41000366210938
1682342520.2677598,634,-216.5800018310547
1682342520.3833308,635,-182.32000732421875
1682342520.4886212,636,-166.9499969482422
1682342520.7214696,638,-208.49000549316406
1682342521.0646665,641,-227.47000122070312
1682342521.1800084,642,-183.72000122070312
1682342521.3019626,643,-207.6699981689453
1682342521.412906,644,-217.4600067138672
1682342521.5277154,645,-212.13999938964844
1682342521.638937,646,-194.30999755859375
1682342521.9795914,649,-213.9600067138672
1682342522.0915465,650,-179.1300048828125
1682342522.3127482,652,-218.75999450683594
1682342522.4265194,653,-219.75999450683594
1682342522.5458493,654,-194.66000366210938
1682342522.6501708,655,-176.47999572753906
1682342522.7617066,656,-215.32000732421875
1682342523.1111403,659,-180.82000732421875
1682342523.2285955,660,-251.0500030517578
1682342523.3348618,661,-203.02000427246094
1682342524.1188612,668,-165.52000427246094
1682342524.3466718,670,-221.0800018310547
1682342524.4563856,671,-218.25999450683594
1682342524.7942007,674,-200.4499969482422
1682342525.015146,676,-222.36000061035156
1682342525.1294243,677,-188.47999572753906
1682342525.2496502,678,-192.63999938964844
