Wall time,Step,Value
1682341965.6935024,1,-336.30999755859375
1682341966.0564334,3,-336.510009765625
1682341966.1999512,4,-347.4100036621094
1682341966.3378549,5,-348.17999267578125
1682341967.0186577,10,-363.3299865722656
1682341967.1654143,11,-337.04998779296875
1682341967.2984428,12,-315.1000061035156
1682341967.718461,15,-321.7699890136719
1682341967.8501928,16,-337.67999267578125
1682341967.9873512,17,-324.79998779296875
1682341968.2675703,19,-306.19000244140625
1682341968.403562,20,-257.05999755859375
1682341968.540222,21,-343.5299987792969
1682341968.8148665,23,-314.95001220703125
1682341968.9534802,24,-275.739990234375
1682341969.3655286,27,-200.89999389648438
1682341969.4974551,28,-268.0799865722656
1682341969.6341915,29,-226.97000122070312
1682341969.7711422,30,-259.8900146484375
1682341969.9029486,31,-283.9200134277344
1682341970.3241162,34,-219.13999938964844
1682341970.465569,35,-211.16000366210938
1682341970.7355993,37,-213.5
1682341970.866244,38,-211.22999572753906
1682341970.9959824,39,-220.7100067138672
1682341971.1294951,40,-218.25
1682341971.2629833,41,-240.8300018310547
1682341972.1863945,48,-209.77999877929688
1682341972.3090084,49,-229.85000610351562
1682341972.4460726,50,-197.8699951171875
1682341972.5862718,51,-200.24000549316406
1682341972.7140915,52,-217.4199981689453
1682341972.8374796,53,-214.3800048828125
1682341973.0985315,55,-179.52000427246094
1682341973.2361362,56,-219.1300048828125
1682341973.4944956,58,-187.3300018310547
1682341973.8736486,61,-223.64999389648438
1682341974.0050266,62,-195.10000610351562
1682341974.1326675,63,-211.2100067138672
1682341974.2702363,64,-234.08999633789062
1682341974.5263503,66,-197.7899932861328
1682341974.6654184,67,-253.55999755859375
1682341974.8021655,68,-228.05999755859375
1682341974.9305408,69,-192.8300018310547
1682341975.2061841,71,-239.60000610351562
1682341975.3492365,72,-210.75
1682341975.6183872,74,-188.7899932861328
1682341975.8845084,76,-217.6999969482422
1682341976.149851,78,-220.97000122070312
1682341976.2825084,79,-205.5
1682341976.418986,80,-219.86000061035156
1682341976.5481286,81,-236.63999938964844
1682341976.8222322,83,-214.67999267578125
1682341976.951784,84,-241.7100067138672
1682341977.2255814,86,-219.9600067138672
1682341977.3548288,87,-224.47999572753906
1682341977.7512066,90,-188.35000610351562
1682341977.886341,91,-209.7899932861328
1682341978.556348,96,-232.64999389648438
1682341979.0799885,100,-226.88999938964844
1682341979.227625,101,-252.49000549316406
1682341979.645562,104,-248.61000061035156
1682341979.7800562,105,-226.13999938964844
1682341980.067278,107,-202.0
1682341980.202685,108,-182.22000122070312
1682341980.5007,110,-204.72999572753906
1682341980.631623,111,-189.32000732421875
1682341980.7743266,112,-204.83999633789062
1682341980.9097438,113,-187.6300048828125
1682341981.181413,115,-176.35000610351562
1682341981.3102674,116,-195.6300048828125
1682341981.4741504,117,-220.49000549316406
1682341982.139403,122,-200.9600067138672
1682341982.6979883,126,-202.30999755859375
1682341982.8305192,127,-199.99000549316406
1682341983.1035264,129,-192.69000244140625
1682341983.2633197,130,-206.57000732421875
1682341983.397004,131,-204.39999389648438
1682341983.5359404,132,-169.50999450683594
1682341983.6685827,133,-206.32000732421875
1682341983.9326062,135,-228.0
1682341984.200311,137,-168.33999633789062
1682341984.3424263,138,-172.0800018310547
1682341984.480955,139,-195.38999938964844
1682341985.144775,144,-202.35000610351562
1682341985.2841308,145,-208.41000366210938
1682341985.5597355,147,-194.7100067138672
1682341985.6959562,148,-189.72000122070312
1682341986.0895064,151,-199.44000244140625
1682341986.6383321,155,-178.7899932861328
1682341986.9186845,157,-166.9499969482422
1682341987.0535824,158,-198.25
1682341987.3213124,160,-187.35000610351562
1682341987.4577863,161,-145.22000122070312
1682341987.73042,163,-163.6199951171875
1682341987.8707507,164,-194.10000610351562
1682341988.003363,165,-196.72999572753906
1682341988.2712076,167,-202.08999633789062
1682341988.538215,169,-193.75999450683594
1682341988.8099852,171,-171.00999450683594
1682341988.9388158,172,-215.75999450683594
1682341989.0742145,173,-208.52999877929688
1682341989.342511,175,-209.5500030517578
1682341989.477354,176,-224.99000549316406
1682341989.6085355,177,-207.1300048828125
1682341989.74703,178,-202.50999450683594
1682341989.8790598,179,-202.08999633789062
